Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,age,total_children,total_spending,total_purchases,meat_share,fruit_share,fish_share,sweet_share,gold_share,deals_share,web_share,catalog_share,store_share,Customer_Days
Graduation,Married,37040.0,41,1,8,0,33,0,316,12,0.2310126582278481,0.006329113924050633,0.21835443037974683,0.12025316455696203,0.1518987341772152,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667,690
Graduation,Married,2447.0,42,15,1,0,36,1,1730,43,0.9971098265895953,0.0005780346820809249,0.0005780346820809249,0.0005780346820809249,0.0005780346820809249,0.3488372093023256,0.0,0.6511627906976745,0.0,539
PhD,Married,58607.0,63,3,8,0,66,1,972,17,0.08847736625514403,0.0,0.0,0.0,0.01954732510288066,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.5294117647058824,553
PhD,Married,65324.0,0,3,4,0,61,1,544,20,0.1875,0.0,0.03860294117647059,0.058823529411764705,0.009191176470588236,0.15,0.3,0.1,0.45,169
Graduation,Together,40689.0,69,7,8,0,64,1,444,20,0.060810810810810814,0.006756756756756757,0.08783783783783784,0.013513513513513514,0.22297297297297297,0.35,0.35,0.05,0.25,468
Graduation,Single,18589.0,89,2,7,0,46,0,75,8,0.3333333333333333,0.05333333333333334,0.2,0.16,0.17333333333333334,0.25,0.25,0.125,0.375,543
Graduation,Married,53359.0,4,4,7,0,39,2,257,14,0.11673151750972763,0.01556420233463035,0.011673151750972763,0.023346303501945526,0.15953307392996108,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.2857142857142857,398
Graduation,Married,38360.0,26,2,3,0,26,1,131,9,0.32061068702290074,0.015267175572519083,0.15267175572519084,0.16030534351145037,0.07633587786259542,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,394
PhD,Married,84618.0,96,1,2,0,50,0,1672,26,0.47906698564593303,0.05980861244019139,0.012559808612440191,0.039473684210526314,0.0,0.038461538461538464,0.23076923076923078,0.34615384615384615,0.38461538461538464,219
Master,Divorced,10979.0,34,2,5,0,26,0,30,8,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.25,0.375,0.0,0.375,38
Master,Together,38620.0,56,1,3,0,52,0,318,11,0.13836477987421383,0.05345911949685535,0.1069182389937107,0.06918238993710692,0.279874213836478,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.2727272727272727,414
Graduation,Together,40548.0,31,2,5,0,45,1,120,9,0.041666666666666664,0.0,0.016666666666666666,0.0,0.025,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,627
PhD,Divorced,46610.0,8,6,6,0,63,2,302,17,0.31788079470198677,0.039735099337748346,0.10927152317880795,0.0728476821192053,0.1423841059602649,0.35294117647058826,0.23529411764705882,0.058823529411764705,0.35294117647058826,608
Master,Married,68657.0,4,1,7,0,69,0,1196,18,0.39381270903010035,0.028428093645484948,0.09949832775919733,0.056856187290969896,0.01839464882943144,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.5,494
Master,Single,49389.0,55,1,7,0,64,2,65,6,0.2923076923076923,0.0,0.03076923076923077,0.015384615384615385,0.046153846153846156,0.16666666666666666,0.3333333333333333,0.0,0.5,304
PhD,Married,67353.0,37,5,2,0,45,1,913,28,0.16538882803943045,0.018619934282584884,0.0,0.008762322015334063,0.038335158817086525,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.42857142857142855,180
2n Cycle,Married,23718.0,76,3,7,0,39,1,81,9,0.1728395061728395,0.037037037037037035,0.18518518518518517,0.08641975308641975,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,300
Graduation,Widow,42429.0,99,2,5,0,42,1,67,7,0.08955223880597014,0.0,0.029850746268656716,0.0,0.05970149253731343,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,138
PhD,Divorced,48948.0,53,2,6,0,72,0,902,24,0.22838137472283815,0.008869179600886918,0.17738359201773837,0.05432372505543237,0.04656319290465632,0.08333333333333333,0.2916666666666667,0.4166666666666667,0.20833333333333334,513
Graduation,Married,80011.0,3,2,4,0,35,1,1395,21,0.3842293906810036,0.05448028673835126,0.05878136200716846,0.12759856630824373,0.07311827956989247,0.09523809523809523,0.38095238095238093,0.2857142857142857,0.23809523809523808,426
Master,Married,20559.0,88,2,8,0,30,1,53,7,0.5471698113207547,0.018867924528301886,0.05660377358490566,0.0,0.1320754716981132,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,474
Graduation,Together,21994.0,4,1,5,0,58,1,22,4,0.2727272727272727,0.0,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.25,0.0,0.0,0.75,552
Master,Married,7500.0,19,3,5,0,40,1,31,8,0.3225806451612903,0.03225806451612903,0.0967741935483871,0.06451612903225806,0.3870967741935484,0.375,0.25,0.0,0.375,270
Graduation,Single,79941.0,72,1,1,0,39,0,984,16,0.2703252032520325,0.16666666666666666,0.2306910569105691,0.03048780487804878,0.17682926829268292,0.0625,0.125,0.25,0.5625,1
2n Cycle,Married,7500.0,24,3,9,0,19,0,122,10,0.11475409836065574,0.14754098360655737,0.12295081967213115,0.18032786885245902,0.4098360655737705,0.3,0.3,0.1,0.3,597
Graduation,Together,41728.0,92,1,10,0,47,1,55,5,0.2727272727272727,0.10909090909090909,0.05454545454545454,0.09090909090909091,0.23636363636363636,0.2,0.4,0.0,0.4,401
PhD,Married,72550.0,39,9,8,0,61,2,1319,28,0.2403335860500379,0.03790750568612585,0.03790750568612585,0.02880970432145565,0.02880970432145565,0.32142857142857145,0.17857142857142858,0.07142857142857142,0.42857142857142855,598
Graduation,Widow,65486.0,29,1,2,0,58,1,507,17,0.2465483234714004,0.03747534516765286,0.07297830374753451,0.13214990138067062,0.027613412228796843,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.5882352941176471,48
Master,Married,79143.0,2,1,3,0,51,0,1693,29,0.4607206142941524,0.021854695806261076,0.01594802126402835,0.09864146485528648,0.018901358535144713,0.034482758620689655,0.20689655172413793,0.3103448275862069,0.4482758620689655,687
Graduation,Single,35790.0,54,2,7,0,38,1,72,7,0.2777777777777778,0.08333333333333333,0.4166666666666667,0.013888888888888888,0.041666666666666664,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,543
Graduation,Divorced,82582.0,54,1,1,0,38,0,1617,21,0.3401360544217687,0.07421150278293136,0.09647495361781076,0.024737167594310452,0.14904143475572046,0.047619047619047616,0.19047619047619047,0.42857142857142855,0.3333333333333333,22
Graduation,Married,66373.0,57,7,3,0,37,2,606,23,0.20462046204620463,0.01485148514851485,0.019801980198019802,0.039603960396039604,0.17986798679867988,0.30434782608695654,0.17391304347826086,0.08695652173913043,0.43478260869565216,382
Master,Together,82384.0,55,1,1,0,60,0,1957,27,0.22074603985692387,0.026060296371997957,0.09197751660705161,0.061318344404701075,0.0970873786407767,0.037037037037037035,0.1111111111111111,0.37037037037037035,0.48148148148148145,587
Graduation,Divorced,70287.0,30,1,3,0,49,0,1093,21,0.4409881061299177,0.03202195791399817,0.11070448307410796,0.10978956999085086,0.036596523330283626,0.047619047619047616,0.23809523809523808,0.23809523809523808,0.47619047619047616,453
Graduation,Single,27938.0,31,1,3,0,27,1,29,6,0.27586206896551724,0.0,0.06896551724137931,0.034482758620689655,0.1724137931034483,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,62
PhD,Married,55954.0,63,3,7,0,47,1,518,19,0.05405405405405406,0.0,0.0,0.0,0.08301158301158301,0.15789473684210525,0.42105263157894735,0.10526315789473684,0.3157894736842105,118
Master,Single,75777.0,12,1,1,0,33,0,1438,21,0.3741307371349096,0.01808066759388039,0.04798331015299027,0.009040333796940195,0.055632823365785816,0.047619047619047616,0.14285714285714285,0.2857142857142857,0.5238095238095238,360
Graduation,Together,66653.0,18,4,3,0,40,2,612,22,0.16666666666666666,0.029411764705882353,0.026143790849673203,0.029411764705882353,0.00980392156862745,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.5454545454545454,660
Graduation,Single,61823.0,26,4,7,0,63,1,884,24,0.1515837104072398,0.007918552036199095,0.0418552036199095,0.01583710407239819,0.19117647058823528,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.4166666666666667,496
PhD,Widow,67680.0,8,1,5,0,64,1,606,19,0.07920792079207921,0.0,0.0,0.009900990099009901,0.009900990099009901,0.05263157894736842,0.3684210526315789,0.15789473684210525,0.42105263157894735,383
Graduation,Together,70666.0,29,1,4,0,67,0,1076,16,0.34107806691449816,0.03717472118959108,0.11059479553903345,0.11338289962825279,0.027881040892193308,0.0625,0.4375,0.25,0.25,205
Graduation,Married,25721.0,75,1,7,0,44,1,34,5,0.17647058823529413,0.08823529411764706,0.08823529411764706,0.17647058823529413,0.4411764705882353,0.2,0.2,0.2,0.4,404
Graduation,Together,32474.0,0,1,7,0,48,2,11,4,0.09090909090909091,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,49
2n Cycle,Single,88194.0,19,1,5,0,36,1,1274,32,0.2425431711145997,0.01098901098901099,0.1577708006279435,0.018838304552590265,0.029827315541601257,0.03125,0.34375,0.3125,0.3125,102
Graduation,Together,69096.0,4,1,4,0,57,1,653,18,0.2434915773353752,0.07503828483920368,0.010719754977029096,0.12557427258805512,0.1669218989280245,0.05555555555555555,0.2777777777777778,0.1111111111111111,0.5555555555555556,275
Graduation,Together,74854.0,90,7,5,0,45,3,1562,19,0.3117797695262484,0.03777208706786172,0.03713188220230474,0.01856594110115237,0.04673495518565941,0.3684210526315789,0.10526315789473684,0.2631578947368421,0.2631578947368421,447
Master,Married,66991.0,1,3,3,0,61,0,1253,21,0.3671189146049481,0.028731045490822026,0.15083798882681565,0.047885075818036714,0.009577015163607342,0.14285714285714285,0.19047619047619047,0.38095238095238093,0.2857142857142857,656
Graduation,Married,65031.0,29,4,7,0,56,1,863,30,0.33719582850521435,0.12398609501738123,0.09733487833140209,0.04287369640787949,0.0996523754345307,0.13333333333333333,0.3333333333333333,0.1,0.43333333333333335,469
PhD,Married,60631.0,88,5,7,0,40,2,661,24,0.09833585476550681,0.009077155824508321,0.0,0.009077155824508321,0.028744326777609682,0.20833333333333334,0.375,0.08333333333333333,0.3333333333333333,450
Graduation,Married,28332.0,58,1,2,0,63,0,65,8,0.2,0.15384615384615385,0.06153846153846154,0.23076923076923078,0.13846153846153847,0.125,0.25,0.125,0.5,60
Graduation,Divorced,40246.0,68,1,6,0,38,1,13,4,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.25,0.25,0.0,0.5,557
Master,Married,75251.0,34,1,5,0,43,0,1890,19,0.4894179894179894,0.05873015873015873,0.051322751322751325,0.009523809523809525,0.009523809523809525,0.05263157894736842,0.3684210526315789,0.3157894736842105,0.2631578947368421,671
Graduation,Single,75825.0,40,0,4,0,39,0,2209,22,0.35264825712992304,0.047532820280669984,0.06201901312811227,0.047532820280669984,0.023087369850611137,0.0,0.22727272727272727,0.36363636363636365,0.4090909090909091,625
2n Cycle,Together,26326.0,12,1,3,1,39,0,18,4,0.2777777777777778,0.0,0.0,0.16666666666666666,0.5,0.25,0.0,0.0,0.75,298
Graduation,Together,56046.0,9,2,8,0,50,0,692,21,0.09248554913294797,0.0,0.0,0.0,0.07369942196531792,0.09523809523809523,0.47619047619047616,0.047619047619047616,0.38095238095238093,543
Graduation,Single,29760.0,87,4,8,0,30,1,165,12,0.4121212121212121,0.024242424242424242,0.04242424242424243,0.030303030303030304,0.10303030303030303,0.3333333333333333,0.25,0.08333333333333333,0.3333333333333333,669
Graduation,Married,26304.0,5,1,7,0,46,1,16,4,0.3125,0.0625,0.125,0.0,0.25,0.25,0.25,0.0,0.5,371
2n Cycle,Married,23559.0,87,3,7,0,42,1,79,9,0.24050632911392406,0.06329113924050633,0.08860759493670886,0.0,0.2911392405063291,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,361
Master,Together,38620.0,56,1,3,0,52,0,318,11,0.13836477987421383,0.05345911949685535,0.1069182389937107,0.06918238993710692,0.279874213836478,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.2727272727272727,414
Graduation,Divorced,81361.0,18,1,1,0,28,0,778,27,0.5449871465295629,0.02956298200514139,0.03470437017994859,0.08354755784061697,0.09768637532133675,0.037037037037037035,0.1111111111111111,0.37037037037037035,0.48148148148148145,124
Graduation,Married,29440.0,95,2,7,0,55,2,56,7,0.25,0.14285714285714285,0.17857142857142858,0.07142857142857142,0.05357142857142857,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,322
Master,Married,36138.0,48,5,7,0,45,2,151,13,0.10596026490066225,0.0,0.0,0.0,0.033112582781456956,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.3076923076923077,348
Graduation,Single,50388.0,3,4,7,0,58,1,372,17,0.09946236559139784,0.016129032258064516,0.0,0.008064516129032258,0.0913978494623656,0.23529411764705882,0.35294117647058826,0.058823529411764705,0.35294117647058826,32
Graduation,Married,79593.0,70,1,2,0,42,0,1366,19,0.4158125915080527,0.043923865300146414,0.08052708638360176,0.09736456808199122,0.1061493411420205,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.3684210526315789,48
Graduation,Together,54178.0,79,1,2,0,48,1,194,10,0.20103092783505155,0.04639175257731959,0.020618556701030927,0.0,0.03608247422680412,0.1,0.2,0.2,0.5,159
Master,Single,42394.0,69,1,7,0,43,1,32,5,0.3125,0.0625,0.0,0.03125,0.125,0.2,0.2,0.0,0.6,98
PhD,Married,23626.0,84,3,5,0,45,1,43,10,0.32558139534883723,0.046511627906976744,0.0,0.0,0.0,0.3,0.3,0.1,0.3,36
Graduation,Married,30096.0,30,1,6,0,32,1,45,6,0.24444444444444444,0.06666666666666667,0.26666666666666666,0.1111111111111111,0.2,0.16666666666666666,0.3333333333333333,0.0,0.5,38
Graduation,Widow,47916.0,72,5,6,0,55,1,606,22,0.0429042904290429,0.0,0.0,0.0,0.12376237623762376,0.22727272727272727,0.3181818181818182,0.18181818181818182,0.2727272727272727,584
Graduation,Divorced,51813.0,37,2,7,0,43,2,63,7,0.1111111111111111,0.031746031746031744,0.0,0.015873015873015872,0.031746031746031744,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,444
2n Cycle,Married,78497.0,44,1,2,0,64,0,978,25,0.4570552147239264,0.026584867075664622,0.07668711656441718,0.0,0.2280163599182004,0.04,0.2,0.28,0.48,210
PhD,Married,50150.0,32,2,5,0,32,0,410,16,0.22439024390243903,0.11219512195121951,0.15853658536585366,0.14878048780487804,0.026829268292682926,0.125,0.3125,0.125,0.4375,374
2n Cycle,Single,47823.0,0,2,8,0,55,1,72,7,0.06944444444444445,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.1388888888888889,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,341
PhD,Single,34554.0,43,2,6,0,56,1,55,7,0.10909090909090909,0.01818181818181818,0.03636363636363636,0.0,0.09090909090909091,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,91
Graduation,Together,85693.0,59,2,5,0,36,1,1169,27,0.15654405474764757,0.14713430282292558,0.15825491873396064,0.11291702309666382,0.0949529512403764,0.07407407407407407,0.3333333333333333,0.18518518518518517,0.4074074074074074,435
PhD,Married,65846.0,68,1,4,0,70,0,1120,16,0.24642857142857144,0.07232142857142858,0.07142857142857142,0.03571428571428571,0.07232142857142858,0.0625,0.375,0.1875,0.375,408
Graduation,Married,87195.0,35,1,1,0,56,0,1097,20,0.6289881494986327,0.06927985414767548,0.04557885141294439,0.023701002734731084,0.03463992707383774,0.05,0.15,0.55,0.25,52
Basic,Together,24594.0,94,1,5,0,36,1,29,5,0.20689655172413793,0.10344827586206896,0.3448275862068966,0.0,0.3103448275862069,0.2,0.2,0.0,0.6,201
Graduation,Married,49096.0,15,4,7,0,51,2,187,13,0.1711229946524064,0.0053475935828877,0.0106951871657754,0.0053475935828877,0.0374331550802139,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.3076923076923077,278
Graduation,Married,52413.0,56,4,6,0,46,2,910,26,0.2978021978021978,0.11648351648351649,0.08241758241758242,0.1076923076923077,0.07142857142857142,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.46153846153846156,512
Graduation,Single,38557.0,17,2,7,0,37,1,145,9,0.21379310344827587,0.020689655172413793,0.027586206896551724,0.027586206896551724,0.18620689655172415,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.3333333333333333,557
Master,Married,89058.0,18,1,2,0,55,0,850,14,0.12470588235294118,0.22823529411764706,0.036470588235294116,0.02588235294117647,0.05058823529411765,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.2857142857142857,569
Graduation,Together,77298.0,46,1,3,0,36,1,969,24,0.3013415892672859,0.11867905056759546,0.023735810113519093,0.03611971104231166,0.08152734778121776,0.041666666666666664,0.25,0.25,0.4583333333333333,239
PhD,Single,68126.0,40,1,9,0,24,0,1820,17,0.17087912087912088,0.00934065934065934,0.012637362637362638,0.028021978021978023,0.04725274725274725,0.058823529411764705,0.4117647058823529,0.23529411764705882,0.29411764705882354,596
Master,Together,57288.0,27,3,6,0,52,1,608,20,0.03453947368421053,0.0,0.0,0.0,0.09868421052631579,0.15,0.4,0.05,0.4,4
Graduation,Single,86037.0,95,1,3,0,24,0,730,25,0.17123287671232876,0.06027397260273973,0.03972602739726028,0.0273972602739726,0.030136986301369864,0.04,0.24,0.28,0.44,543
PhD,Married,43974.0,19,5,7,0,35,1,551,21,0.18330308529945555,0.0,0.0,0.0,0.1306715063520871,0.23809523809523808,0.2857142857142857,0.19047619047619047,0.2857142857142857,564
Graduation,Single,50785.0,27,2,6,0,53,2,114,8,0.18421052631578946,0.008771929824561403,0.0,0.008771929824561403,0.23684210526315788,0.25,0.25,0.125,0.375,292
Graduation,Married,90765.0,25,0,1,0,45,0,1724,15,0.4709976798143852,0.0574245939675174,0.08758700696055685,0.04756380510440835,0.0191415313225058,0.0,0.26666666666666666,0.4,0.3333333333333333,156
2n Cycle,Married,36550.0,74,5,9,0,37,1,577,20,0.16291161178509533,0.1559792027729636,0.21317157712305027,0.17850953206239167,0.20797227036395147,0.25,0.45,0.05,0.25,495
2n Cycle,Together,30753.0,85,2,5,0,48,2,81,7,0.30864197530864196,0.06172839506172839,0.0,0.1111111111111111,0.37037037037037035,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,353
Graduation,Together,21918.0,37,2,6,0,46,1,33,7,0.21212121212121213,0.18181818181818182,0.3333333333333333,0.15151515151515152,0.09090909090909091,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,227
Master,Together,56129.0,65,4,4,0,62,1,660,22,0.2015151515151515,0.07272727272727272,0.05909090909090909,0.10909090909090909,0.07272727272727272,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.45454545454545453,374
Master,Single,32557.0,13,3,5,0,48,1,80,9,0.3625,0.0375,0.0,0.05,0.125,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,125
Master,Married,19510.0,63,2,7,0,30,2,30,6,0.23333333333333334,0.0,0.1,0.13333333333333333,0.23333333333333334,0.3333333333333333,0.16666666666666666,0.0,0.5,298
Graduation,Divorced,30992.0,83,1,7,0,39,1,43,5,0.32558139534883723,0.0,0.16279069767441862,0.06976744186046512,0.046511627906976744,0.2,0.2,0.0,0.6,433
Graduation,Single,101970.0,69,0,2,0,32,0,1135,27,0.08986784140969163,0.02378854625550661,0.038766519823788544,0.06343612334801763,0.14801762114537445,0.0,0.2222222222222222,0.2962962962962963,0.48148148148148145,474
2n Cycle,Together,71488.0,87,2,1,0,50,0,559,16,0.22182468694096602,0.059033989266547404,0.07155635062611806,0.05008944543828265,0.3076923076923077,0.125,0.1875,0.25,0.4375,496
Graduation,Single,79607.0,37,1,1,0,31,0,1923,16,0.49453978159126366,0.06916276651066043,0.08996359854394176,0.0,0.11232449297971919,0.0625,0.1875,0.375,0.375,434
Master,Married,54348.0,51,2,6,0,62,2,90,8,0.17777777777777778,0.0,0.0,0.0,0.044444444444444446,0.25,0.25,0.0,0.5,21
PhD,Together,77376.0,72,4,4,0,59,2,661,23,0.1664145234493192,0.028744326777609682,0.024205748865355523,0.018154311649016642,0.018154311649016642,0.17391304347826086,0.2608695652173913,0.13043478260869565,0.43478260869565216,50
Graduation,Married,62998.0,10,5,5,0,63,1,463,19,0.15766738660907129,0.12526997840172785,0.14038876889848811,0.19222462203023757,0.12526997840172785,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.2631578947368421,272
Graduation,Married,73448.0,10,1,4,0,46,0,725,19,0.26068965517241377,0.14620689655172414,0.031724137931034485,0.05655172413793103,0.1793103448275862,0.05263157894736842,0.3684210526315789,0.10526315789473684,0.47368421052631576,139
PhD,Married,41551.0,51,5,8,0,51,2,279,16,0.11827956989247312,0.0,0.010752688172043012,0.0,0.08243727598566308,0.3125,0.3125,0.0625,0.3125,319
PhD,Together,62981.0,21,1,3,0,48,0,1482,23,0.398110661268556,0.009446693657219974,0.02564102564102564,0.029689608636977057,0.0,0.043478260869565216,0.17391304347826086,0.21739130434782608,0.5652173913043478,469
Basic,Divorced,9548.0,31,2,8,0,39,1,29,6,0.10344827586206896,0.034482758620689655,0.3448275862068966,0.20689655172413793,0.3103448275862069,0.3333333333333333,0.16666666666666666,0.0,0.5,690
PhD,Married,33762.0,61,3,8,0,56,3,106,9,0.32075471698113206,0.009433962264150943,0.018867924528301886,0.0,0.1509433962264151,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,357
PhD,Divorced,36921.0,74,2,7,0,50,2,38,7,0.3157894736842105,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.10526315789473684,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,336
Master,Single,92859.0,46,1,2,0,23,0,2077,22,0.44342802118440056,0.029369282619162253,0.025036109773712085,0.029369282619162253,0.009629272989889264,0.045454545454545456,0.22727272727272727,0.18181818181818182,0.5454545454545454,618
Master,Together,65104.0,4,2,7,0,39,1,1053,17,0.22032288698955366,0.0,0.012345679012345678,0.01899335232668566,0.04748338081671415,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.4117647058823529,227
Graduation,Married,86111.0,73,1,2,0,53,0,1385,23,0.5458483754512635,0.020216606498194945,0.025992779783393503,0.02888086642599278,0.09097472924187726,0.043478260869565216,0.21739130434782608,0.30434782608695654,0.43478260869565216,436
PhD,Single,68352.0,47,3,6,0,41,1,871,25,0.1515499425947187,0.018369690011481057,0.04936854190585534,0.03788748564867968,0.03788748564867968,0.12,0.32,0.2,0.36,305
Graduation,Together,41883.0,13,3,7,0,27,1,312,12,0.13141025641025642,0.10897435897435898,0.23397435897435898,0.05128205128205128,0.3717948717948718,0.25,0.3333333333333333,0.16666666666666666,0.25,467
Graduation,Married,59809.0,36,3,8,0,39,2,877,15,0.16077537058152794,0.018244013683010263,0.036488027366020526,0.046750285062713795,0.055872291904218926,0.2,0.2,0.2,0.4,619
Graduation,Married,23957.0,47,1,6,0,40,1,68,6,0.2647058823529412,0.014705882352941176,0.29411764705882354,0.16176470588235295,0.23529411764705882,0.16666666666666666,0.3333333333333333,0.0,0.5,609
Graduation,Together,38547.0,49,1,8,1,34,1,22,4,0.45454545454545453,0.045454545454545456,0.0,0.045454545454545456,0.18181818181818182,0.25,0.25,0.0,0.5,305
2n Cycle,Married,35688.0,94,7,8,0,42,3,211,16,0.4265402843601896,0.014218009478672985,0.05687203791469194,0.004739336492890996,0.15165876777251186,0.4375,0.25,0.0625,0.25,676
